"Step","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MAX","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MAX","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MIN","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MAX"
"3088","6800","6800","6800","","","","","",""
"3680","8000","8000","8000","","","","","",""
"5264","6900","6900","6900","","","","","",""
"7968","10900","10900","10900","","","","","",""
"8688","4200","4200","4200","","","","","",""
"9920","4300","4300","4300","","","","","",""
"14016","12000","12000","12000","","","","","",""
"14320","5500","5500","5500","","","","","",""
"14992","6900","6900","6900","","","","","",""
"16880","10600","10600","10600","","","","","",""
"17424","3400","3400","3400","","","","","",""
"17744","9000","9000","9000","","","","","",""
"19680","9100","9100","9100","","","","","",""
"20592","4400","4400","4400","","","","","",""
"21120","7700","7700","7700","","","","","",""
"21632","15000","15000","15000","","","","","",""
"22864","14000","14000","14000","","","","","",""
"22880","8600","8600","8600","","","","","",""
"23104","11300","11300","11300","","","","","",""
"23808","","","","8200","8200","8200","","",""
"24960","","","","5200","5200","5200","","",""
"25088","","","","4300","4300","4300","","",""
"25216","","","","","","","3500","3500","3500"
"25600","","","","7500","7500","7500","","",""
"25712","17300","17300","17300","","","","","",""
"26080","9900","9900","9900","","","","","",""
"26112","","","","","","","3000","3000","3000"
"26656","12100","12100","12100","","","","","",""
"27344","7300","7300","7300","","","","","",""
"27392","","","","6133.33349609375","6133.33349609375","6133.33349609375","","",""
"27728","8600","8600","8600","","","","","",""
"28416","","","","6100","6100","6100","","",""
"28544","","","","4900","4900","4900","","",""
"29056","","","","5600","5600","5600","","",""
"31616","","","","","","","7500","7500","7500"
"32224","5500","5500","5500","","","","","",""
"32592","9500","9500","9500","","","","","",""
"32736","6900","6900","6900","","","","","",""
"32896","","","","7000","7000","7000","","",""
"33792","","","","8500","8500","8500","","",""
"33920","","","","8650","8650","8650","","",""
"34560","","","","6000","6000","6000","","",""
"34608","16200","16200","16200","","","","","",""
"34816","","","","8400","8400","8400","","",""
"35072","","","","9200","9200","9200","","",""
"35584","","","","7400","7400","7400","","",""
"36096","","","","9000","9000","9000","","",""
"36656","7500","7500","7500","","","","","",""
"37328","7500","7500","7500","","","","","",""
"37696","5400","5400","5400","","","","","",""
"38048","8000","8000","8000","","","","","",""
"38144","","","","6700","6700","6700","","",""
"38912","","","","6900","6900","6900","","",""
"39680","","","","9633.3330078125","9633.3330078125","9633.3330078125","","",""
"39776","8500","8500","8500","","","","","",""
"40320","","","","7200","7200","7200","","",""
"40960","","","","","","","11900","11900","11900"
"41088","8400","8400","8400","","","","","",""
"41168","10400","10400","10400","","","","","",""
"41216","","","","11600","11600","11600","","",""
"41984","","","","11700","11700","11700","","",""
"43264","","","","10000","10000","10000","","",""
"43776","","","","12100","12100","12100","","",""
"44144","8000","8000","8000","","","","","",""
"44400","13900","13900","13900","","","","","",""
"44432","9900","9900","9900","","","","","",""
"44800","","","","10100","10100","10100","","",""
"44928","","","","8700","8700","8700","","",""
"45440","15600","15600","15600","","","","","",""
"45568","","","","13800","13800","13800","","",""
"45952","4700","4700","4700","","","","","",""
"46464","","","","13300","13300","13300","17100","17100","17100"
"46592","","","","10800","10800","10800","","",""
"46624","11200","11200","11200","","","","","",""
"48800","11400","11400","11400","","","","","",""
"48896","","","","9300","9300","9300","","",""
"49680","4000","4000","4000","","","","","",""
"50144","11800","11800","11800","","","","","",""
"50624","6500","6500","6500","","","","","",""
"51056","5700","5700","5700","","","","","",""
"52096","","","","12600","12600","12600","","",""
"52656","21300","21300","21300","","","","","",""
"53376","","","","4900","4900","4900","","",""
"55168","","","","10950","10950","10950","","",""
"55424","","","","13800","13800","13800","","",""
"55904","6400","6400","6400","","","","","",""
"56080","5800","5800","5800","","","","","",""
"56320","","","","17400","17400","17400","","",""
"56352","18600","18600","18600","","","","","",""
"57472","","","","13300","13300","13300","","",""
"57504","8300","8300","8300","","","","","",""
"57792","11300","11300","11300","","","","","",""
"57984","","","","10100","10100","10100","","",""
"59760","3700","3700","3700","","","","","",""
"60160","","","","8100","8100","8100","","",""
"60288","","","","18800","18800","18800","","",""
"62480","7700","7700","7700","","","","","",""
"62736","7700","7700","7700","","","","","",""
"62848","","","","4200","4200","4200","","",""
