"Step","Asterix-v4__my_baseline_intrinsic__1__1667739569 - charts/mean_episodic_return","Asterix-v4__my_baseline_intrinsic__1__1667739569 - charts/mean_episodic_return__MIN","Asterix-v4__my_baseline_intrinsic__1__1667739569 - charts/mean_episodic_return__MAX","Asterix-v4__my_baseline_intrinsic__1__1667738893 - charts/mean_episodic_return","Asterix-v4__my_baseline_intrinsic__1__1667738893 - charts/mean_episodic_return__MIN","Asterix-v4__my_baseline_intrinsic__1__1667738893 - charts/mean_episodic_return__MAX","Asterix-v4__state_of_art_intrinsic__1__1667413456 - charts/mean_episodic_return","Asterix-v4__state_of_art_intrinsic__1__1667413456 - charts/mean_episodic_return__MIN","Asterix-v4__state_of_art_intrinsic__1__1667413456 - charts/mean_episodic_return__MAX","Asterix-v4__state_of_art_intrinsic__1__1666563907 - charts/mean_episodic_return","Asterix-v4__state_of_art_intrinsic__1__1666563907 - charts/mean_episodic_return__MIN","Asterix-v4__state_of_art_intrinsic__1__1666563907 - charts/mean_episodic_return__MAX","Asterix-v4__state_of_art_intrinsic__1__1666563380 - charts/mean_episodic_return","Asterix-v4__state_of_art_intrinsic__1__1666563380 - charts/mean_episodic_return__MIN","Asterix-v4__state_of_art_intrinsic__1__1666563380 - charts/mean_episodic_return__MAX","Asterix-v4__my_baseline_intrinsic__1__1666207129 - charts/mean_episodic_return","Asterix-v4__my_baseline_intrinsic__1__1666207129 - charts/mean_episodic_return__MIN","Asterix-v4__my_baseline_intrinsic__1__1666207129 - charts/mean_episodic_return__MAX"
"1024","","","","","","","150","150","150","","","","","","","","",""
"1248","","","","","","","200","200","200","","","","","","","","",""
"2224","","","","","","","150","150","150","","","","","","","","",""
"2304","","","","","","","200","200","200","","","","","","","","",""
"2704","","","","","","","250","250","250","","","","","","","","",""
"3376","","","","","","","150","150","150","","","","","","","","",""
"4208","","","","","","","200","200","200","","","","","","","","",""
"4272","","","","","","","100","100","100","","","","","","","","",""
"4848","","","","","","","400","400","400","","","","","","","","",""
"5648","","","","","","","400","400","400","","","","","","","","",""
"6320","","","","","","","100","100","100","","","","","","","","",""
"6784","","","","","","","","","","250","250","250","","","","","",""
"7168","150","150","150","150","150","150","","","","","","","50","50","50","150","150","150"
"7424","50","50","50","50","50","50","","","","","","","","","","","",""
"7552","75","75","75","75","75","75","","","","","","","0","0","0","","",""
"7680","50","50","50","50","50","50","","","","","","","133.3333282470703","133.3333282470703","133.3333282470703","","",""
"7808","","","","","","","","","","","","","116.66666412353516","116.66666412353516","116.66666412353516","","",""
"7936","150","150","150","150","150","150","","","","233.3333282470703","233.3333282470703","233.3333282470703","133.3333282470703","133.3333282470703","133.3333282470703","","",""
"8000","","","","","","","100","100","100","","","","","","","","",""
"8064","87.5","87.5","87.5","87.5","87.5","87.5","","","","","","","116.66666412353516","116.66666412353516","116.66666412353516","","",""
"8192","91.66666412353516","91.66666412353516","91.66666412353516","91.66666412353516","91.66666412353516","91.66666412353516","","","","","","","164.2857208251953","164.2857208251953","164.2857208251953","91.66666412353516","91.66666412353516","91.66666412353516"
"8320","33.33333206176758","33.33333206176758","33.33333206176758","33.33333206176758","33.33333206176758","33.33333206176758","","","","91.66666412353516","91.66666412353516","91.66666412353516","125","125","125","","",""
"8448","75","75","75","75","75","75","","","","","","","125","125","125","","",""
"8576","160","160","160","175","175","175","","","","","","","116.66666412353516","116.66666412353516","116.66666412353516","","",""
"8704","150","150","150","150","150","150","","","","","","","183.3333282470703","183.3333282470703","183.3333282470703","","",""
"8832","158.3333282470703","158.3333282470703","158.3333282470703","158.3333282470703","158.3333282470703","158.3333282470703","","","","","","","283.3333435058594","283.3333435058594","283.3333435058594","","",""
"8960","150","150","150","150","150","150","","","","","","","100","100","100","","",""
"9088","75","75","75","75","75","75","","","","","","","212.5","212.5","212.5","","",""
"9216","157.14285278320312","157.14285278320312","157.14285278320312","133.3333282470703","133.3333282470703","133.3333282470703","","","","","","","166.6666717529297","166.6666717529297","166.6666717529297","","",""
"9344","100","100","100","100","100","100","","","","166.6666717529297","166.6666717529297","166.6666717529297","166.6666717529297","166.6666717529297","166.6666717529297","","",""
"9472","125","125","125","150","150","150","","","","","","","100","100","100","","",""
"9600","225","225","225","225","225","225","","","","175","175","175","200","200","200","","",""
"9728","100","100","100","100","100","100","150","150","150","","","","220","220","220","","",""
"9856","","","","200","200","200","","","","","","","","","","","",""
"9984","200","200","200","200","200","200","","","","250","250","250","225","225","225","","",""
"10112","","","","","","","","","","150","150","150","175","175","175","","",""
"10192","","","","","","","250","250","250","","","","","","","","",""
"10240","","","","","","","","","","","","","133.3333282470703","133.3333282470703","133.3333282470703","","",""
"10368","230","230","230","225","225","225","","","","","","","325","325","325","","",""
"10496","250","250","250","","","","","","","","","","225","225","225","","",""
"10544","","","","","","","100","100","100","","","","","","","","",""
"10624","","","","","","","","","","","","","200","200","200","","",""
"10752","300","300","300","300","300","300","","","","","","","250","250","250","","",""
"10880","200","200","200","200","200","200","250","250","250","","","","0","0","0","","",""
"11008","290","290","290","290","290","290","","","","300","300","300","250","250","250","","",""
"11136","300","300","300","300","300","300","","","","","","","200","200","200","","",""
"11264","275","275","275","275","275","275","","","","","","","200","200","200","","",""
"11392","300","300","300","300","300","300","","","","","","","212.5","212.5","212.5","","",""
"11520","300","300","300","300","300","300","","","","","","","250","250","250","","",""
"11648","225","225","225","225","225","225","","","","","","","325","325","325","","",""
"11776","266.6666564941406","266.6666564941406","266.6666564941406","266.6666564941406","266.6666564941406","266.6666564941406","","","","","","","333.3333435058594","333.3333435058594","333.3333435058594","","",""
"11904","350","350","350","350","350","350","","","","","","","316.6666564941406","316.6666564941406","316.6666564941406","","",""
"12032","300","300","300","300","300","300","","","","","","","150","150","150","","",""
"12160","250","250","250","250","250","250","","","","","","","300","300","300","","",""
"12288","375","375","375","375","375","375","","","","266.6666564941406","266.6666564941406","266.6666564941406","","","","","",""
"12416","","","","","","","","","","","","","350","350","350","","",""
"12544","350","350","350","350","350","350","","","","","","","275","275","275","","",""
"12672","383.3333435058594","383.3333435058594","383.3333435058594","383.3333435058594","383.3333435058594","383.3333435058594","","","","400","400","400","366.6666564941406","366.6666564941406","366.6666564941406","","",""
"12800","250","250","250","250","250","250","","","","","","","366.6666564941406","366.6666564941406","366.6666564941406","250","250","250"
"12928","325","325","325","325","325","325","","","","","","","350","350","350","","",""
"13056","300","300","300","300","300","300","","","","","","","250","250","250","","",""
"13184","475","475","475","475","475","475","","","","","","","300","300","300","","",""
"13440","350","350","350","350","350","350","","","","","","","","","","","",""
"13568","300","300","300","300","300","300","","","","","","","316.6666564941406","316.6666564941406","316.6666564941406","","",""
"13952","","","","","","","","","","","","","500","500","500","","",""
"14080","300","300","300","300","300","300","","","","","","","","","","","",""
"14336","300","300","300","300","300","300","","","","","","","350","350","350","","",""
"14592","483.3333435058594","483.3333435058594","483.3333435058594","483.3333435058594","483.3333435058594","483.3333435058594","","","","316.6666564941406","316.6666564941406","316.6666564941406","","","","","",""
"14720","","","","","","","","","","","","","300","300","300","","",""
"14848","","","","","","","","","","","","","400","400","400","","",""
"15360","550","550","550","550","550","550","","","","","","","","","","","",""
"15616","150","150","150","150","150","150","","","","","","","","","","","",""
"15744","375","375","375","375","375","375","","","","","","","50","50","50","","",""
"15872","100","100","100","100","100","100","","","","","","","","","","","",""
"16000","175","175","175","166.6666717529297","166.6666717529297","166.6666717529297","","","","","","","325","325","325","","",""
"16128","","","","","","","","","","","","","100","100","100","","",""
"16256","416.6666564941406","416.6666564941406","416.6666564941406","416.6666564941406","416.6666564941406","416.6666564941406","","","","","","","350","350","350","416.6666564941406","416.6666564941406","416.6666564941406"
"16384","","","","","","","","","","240","240","240","75","75","75","","",""
"16512","","","","","","","","","","","","","283.3333435058594","283.3333435058594","283.3333435058594","","",""
"16640","175","175","175","175","175","175","","","","","","","500","500","500","175","175","175"
"16768","150","150","150","150","150","150","","","","","","","0","0","0","150","150","150"
"16896","170","170","170","170","170","170","0","0","0","","","","150","150","150","","",""
"17024","125","125","125","125","125","125","","","","","","","","","","125","125","125"
