"Step","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return__MIN","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return__MAX"
"87808","0","0","0"
"262016","0","0","0"
"346624","0","0","0"
"347392","0","0","0"
"349312","0","0","0"
"349568","0","0","0"
"436480","0","0","0"
"521344","0","0","0"
"606848","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"610048","0","0","0"
"610560","0","0","0"
"696448","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"779392","0.5","0.5","0.5"
"780160","0","0","0"
"783104","0.125","0.125","0.125"
"869120","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"956928","0","0","0"
"960128","0","0","0"
"1042176","0","0","0"
"1043072","0","0","0"
"1044608","0","0","0"
"1044736","0","0","0"
"1045120","0","0","0"
"1127040","0","0","0"
"1128704","0","0","0"
"1130752","0","0","0"
"1132800","0","0","0"
"1214336","0","0","0"
"1214976","0","0","0"
"1216768","0","0","0"
"1216896","0","0","0"
"1218816","0","0","0"
"1221760","0","0","0"
"1304448","0","0","0"
"1304576","0","0","0"
"1305984","0","0","0"
"1388416","0","0","0"
"1388928","0","0","0"
"1391104","0","0","0"
"1395456","0","0","0"
"1476224","0","0","0"
"1477760","0","0","0"
"1478272","0","0","0"
"1558784","0","0","0"
"1563648","0","0","0"
"1565440","0","0","0"
"1566592","0","0","0"
"1650304","0","0","0"
"1651968","0","0","0"
"1654016","0","0","0"
"1654272","0","0","0"
"1656960","0","0","0"
"1738624","0","0","0"
"1740288","0","0","0"
"1740928","0","0","0"
"1744384","0","0","0"
"1821440","0","0","0"
"1822976","0","0","0"
"1824128","0","0","0"
"1827584","0","0","0"
"1827840","0","0","0"
"1827968","0","0","0"
"1828096","0","0","0"
"1910400","0","0","0"
"1912192","0.5","0.5","0.5"
"1912576","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"1913728","0","0","0"
"1914240","0","0","0"
"1914368","0","0","0"
"1916288","0","0","0"
"1994240","0","0","0"
"1998848","0.5","0.5","0.5"
"1999744","0","0","0"
"2002432","1","1","1"
"2084864","0","0","0"
"2087296","0","0","0"
"2167808","0","0","0"
"2172288","1","1","1"
"2174208","1","1","1"
"2177280","0","0","0"
"2254848","0.5","0.5","0.5"
"2256896","0","0","0"
"2342400","0","0","0"
"2342656","2","2","2"
"2352896","1","1","1"
"2429696","3","3","3"
"2434176","3","3","3"
"2434432","3","3","3"
"2435328","3","3","3"
"2439040","1","1","1"
"2515200","3","3","3"
"2605824","1","1","1"
"2606080","1.5","1.5","1.5"
"2776704","1","1","1"
"2780800","1","1","1"
"2781312","1","1","1"
"2785920","3","3","3"
"2787712","1","1","1"
"2867840","2","2","2"
"2873088","0","0","0"
"2873472","1","1","1"
"2954368","0","0","0"
"2954624","0","0","0"
"2955392","0","0","0"
"2960384","2","2","2"
"3039104","0","0","0"
"3039232","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"3042048","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"3043584","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"3046144","0","0","0"
"3047168","0","0","0"
"3130240","0","0","0"
"3131648","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"3211008","1","1","1"
"3212160","1","1","1"
"3214720","0","0","0"
"3214848","0.5","0.5","0.5"
"3220608","1","1","1"
"3303040","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"3308672","0","0","0"
"3310720","0","0","0"
"3388928","0","0","0"
"3391616","0","0","0"
"3392384","0","0","0"
"3477248","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"3477632","0","0","0"
"3478144","0","0","0"
"3479808","0","0","0"
"3561216","0","0","0"
"3562368","0","0","0"
"3649152","0","0","0"
"3653248","0","0","0"
"3656704","0","0","0"
"3729792","1","1","1"
"3730944","1","1","1"
"3736576","0","0","0"
"3742080","0.5","0.5","0.5"
"3828864","0","0","0"
"3993856","0","0","0"
"3999872","0","0","0"
"4001280","0","0","0"
"4084352","0","0","0"
"4085504","0","0","0"
"4169600","0","0","0"
"4169856","0","0","0"
"4177920","0","0","0"
"4251136","0","0","0"
"4261504","0","0","0"
"4263936","0","0","0"
"4266368","0","0","0"
"4343936","0","0","0"
"4346112","0","0","0"
"4348672","0","0","0"
"4349056","0","0","0"
"4350592","0","0","0"
"4517376","0","0","0"
"4520192","0","0","0"
"4522496","0","0","0"
"4523904","0","0","0"
"4603648","0","0","0"
"4610560","0","0","0"
"4686976","0","0","0"
"4689664","0","0","0"
"4691456","0","0","0"
"4691712","0","0","0"
"4696832","0","0","0"
"4700032","0","0","0"
"4777600","0","0","0"
"4778880","0","0","0"
"4780672","0","0","0"
"4783360","0","0","0"
"4862592","0","0","0"
"4946560","0","0","0"
"4947456","0","0","0"
"4952448","0","0","0"
"4957440","0","0","0"
"4959360","0","0","0"
"4960256","0","0","0"
"4962816","0","0","0"
"5039872","0","0","0"
"5043968","0","0","0"
"5044608","0","0","0"
"5127424","0","0","0"
"5129728","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"5129856","0","0","0"
"5133696","0","0","0"
"5134208","0","0","0"
"5209856","0","0","0"
"5210368","0","0","0"
"5216000","0","0","0"
"5221760","0","0","0"
"5222144","0","0","0"
"5298176","0","0","0"
"5303168","0","0","0"
"5304960","0","0","0"
"5384832","0","0","0"
"5387264","0","0","0"
"5392640","0","0","0"
"5393920","0","0","0"
"5470208","0","0","0"
"5474048","0","0","0"
"5474688","0","0","0"
"5475200","0","0","0"
"5477248","0","0","0"
"5477376","0","0","0"
"5477504","0","0","0"
"5483264","0","0","0"
"5558656","0","0","0"
"5560576","0","0","0"
"5643392","0","0","0"
"5646336","0","0","0"
"5647488","0","0","0"
"5648640","0","0","0"
"5648896","0","0","0"
"5651584","0","0","0"
"5651712","0","0","0"
"5733888","0","0","0"
"5738368","0","0","0"
"5741184","0","0","0"
"5741568","0","0","0"
"5822592","0","0","0"
"5824384","0","0","0"
"5831808","0","0","0"
"5832448","0","0","0"
"5907584","0","0","0"
"5914368","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"5918592","0","0","0"
"5919616","0","0","0"
"5993472","0","0","0"
"5995520","0","0","0"
"5997696","0","0","0"
"5998080","0","0","0"
"6000512","0","0","0"
"6001536","0","0","0"
"6078464","0","0","0"
"6078848","0","0","0"
"6084224","0","0","0"
"6177920","1","1","1"
"6259328","2","2","2"
"6261760","0","0","0"
"6340224","0","0","0"
"6346624","0","0","0"
"6346752","0","0","0"
"6346880","0","0","0"
"6349312","0","0","0"
"6429056","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"6440064","0","0","0"
"6528768","0","0","0"
"6601600","0","0","0"
"6613376","0","0","0"
"6613504","0","0","0"
"6697472","0","0","0"
"6697600","0.5","0.5","0.5"
"6768768","0","0","0"
"6774784","1","1","1"
"6775936","1.5","1.5","1.5"
"6786688","1.6666666269302368","1.6666666269302368","1.6666666269302368"
"6862336","0","0","0"
"6869760","0","0","0"
"6952704","0.5","0.5","0.5"
"7035648","1","1","1"
"7036160","0","0","0"
"7051264","0","0","0"
"7116288","2","2","2"
"7124864","2","2","2"
"7211008","2","2","2"
"7211648","2.5","2.5","2.5"
"7212544","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"7217152","2","2","2"
"7219328","2","2","2"
"7223552","1","1","1"
"7306240","1","1","1"
"7312640","1","1","1"
"7313664","0","0","0"
"7387264","2.5","2.5","2.5"
"7388032","2","2","2"
"7389696","1.7999999523162842","1.7999999523162842","1.7999999523162842"
"7396480","2","2","2"
"7469440","4","4","4"
"7472768","3","3","3"
"7478912","3","3","3"
"7565824","0","0","0"
"7570816","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"7571328","0","0","0"
"7643904","0","0","0"
"7645696","1","1","1"
"7656192","1","1","1"
"7727232","0","0","0"
"7742848","0","0","0"
"7743488","0","0","0"
"7744896","0","0","0"
"7816960","0","0","0"
"7823232","1","1","1"
"7823360","0.5","0.5","0.5"
"7824128","2","2","2"
"7827840","0","0","0"
"7828480","0","0","0"
"7830656","0","0","0"
"7916160","0","0","0"
"7916800","0","0","0"
"7987328","1","1","1"
"7992576","0","0","0"
"7996416","0","0","0"
"7996928","0","0","0"
"7999616","0","0","0"
"8004096","0","0","0"
"8008704","0","0","0"
"8075520","0","0","0"
"8081280","0","0","0"
"8082176","0","0","0"
"8085632","1","1","1"
"8087680","3","3","3"
"8165760","1","1","1"
"8170240","1.5","1.5","1.5"
"8170368","5","5","5"
"8174720","0","0","0"
"8175104","2","2","2"
"8178304","2","2","2"
"8178432","3","3","3"
"8180352","1","1","1"
"8181376","1","1","1"
"8249856","2","2","2"
"8260096","3","3","3"
"8260864","2.5","2.5","2.5"
"8261376","1","1","1"
"8266112","1.6666666269302368","1.6666666269302368","1.6666666269302368"
"8269184","2","2","2"
"8339200","2.5","2.5","2.5"
"8339584","1","1","1"
"8347776","1","1","1"
"8349312","2","2","2"
"8350336","1","1","1"
"8355328","1","1","1"
"8361984","1","1","1"
"8425216","0","0","0"
"8438144","0.5","0.5","0.5"
"8517120","0","0","0"
"8522880","0","0","0"
"8525824","0","0","0"
"8533120","0","0","0"
"8602368","0","0","0"
"8604672","0","0","0"
"8605568","0","0","0"
"8605824","0","0","0"
"8693632","0","0","0"
"8701952","0","0","0"
"8769280","0","0","0"
"8781056","0","0","0"
"8786944","0","0","0"
"8866688","0","0","0"
"8871296","0","0","0"
"8871680","0","0","0"
"8875392","0","0","0"
"8946688","0","0","0"
"8953984","0","0","0"
"8961024","0","0","0"
"8961408","0","0","0"
"9033728","0","0","0"
"9042560","0","0","0"
"9043968","0","0","0"
"9128960","0","0","0"
"9139968","0","0","0"
"9209088","0","0","0"
"9213312","0","0","0"
"9216640","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"9216896","0","0","0"
"9293696","0","0","0"
"9295232","0","0","0"
"9296640","0","0","0"
"9305088","0","0","0"
"9383424","0","0","0"
"9386752","1","1","1"
"9388928","0.5","0.5","0.5"
"9390592","0","0","0"
"9391360","1","1","1"
"9391744","0.5","0.5","0.5"
"9470720","0","0","0"
"9473152","1","1","1"
"9478016","0","0","0"
"9478912","0","0","0"
"9480832","0","0","0"
"9482240","0.5","0.5","0.5"
"9565952","0","0","0"
"9567616","0","0","0"
"9570176","0","0","0"
"9574784","0","0","0"
"9651456","0","0","0"
"9651712","0","0","0"
"9738112","0","0","0"
"9743616","0","0","0"
"9750912","0","0","0"
"9817600","0","0","0"
"9822720","0","0","0"
"9902592","0","0","0"
"9908096","0","0","0"
"9910656","0","0","0"
"9915904","0","0","0"
"9920128","0","0","0"
"9923968","0","0","0"
"9991296","0","0","0"
"10000128","0","0","0"
"10069760","0","0","0"
"10073472","0","0","0"
"10075648","0","0","0"
"10093696","0","0","0"
"10097408","0","0","0"
"10186240","0","0","0"
"10252160","0","0","0"
"10255616","0","0","0"
"10257792","0","0","0"
"10267904","0","0","0"
"10346752","0","0","0"
"10350976","0","0","0"
"10421376","0","0","0"
"10426880","0.5","0.5","0.5"
"10430848","0","0","0"
"10434176","0","0","0"
"10434304","0","0","0"
"10436736","0","0","0"
"10437120","0","0","0"
"10437760","0","0","0"
"10513920","0","0","0"
"10518016","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"10519936","1","1","1"
"10526336","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"10528640","1","1","1"
"10531584","0","0","0"
"10534400","0","0","0"
"10597248","0","0","0"
"10598400","0","0","0"
"10599040","0","0","0"
"10600832","0","0","0"
"10608256","0","0","0"
"10608768","0","0","0"
"10610560","0","0","0"
"10613888","0","0","0"
"10617856","0","0","0"
"10687104","0","0","0"
"10688768","1","1","1"
"10690304","0","0","0"
"10690944","0","0","0"
"10691200","0","0","0"
"10697856","0","0","0"
"10780288","2","2","2"
"10785152","0","0","0"
"10858496","1","1","1"
"10876544","2","2","2"
"10953728","0","0","0"
"10955648","1","1","1"
"10961280","1","1","1"
"10968960","2","2","2"
"11039488","2.6666667461395264","2.6666667461395264","2.6666667461395264"
"11041408","2","2","2"
"11122048","6","6","6"
"11126656","4","4","4"
"11137024","6","6","6"
"11202944","3","3","3"
"11210880","6","6","6"
"11211520","4","4","4"
"11214208","3.5","3.5","3.5"
"11216896","3","3","3"
"11217920","1.5","1.5","1.5"
"11218816","2","2","2"
"11224960","2","2","2"
"11289856","0","0","0"
"11297152","0","0","0"
"11306368","1","1","1"
"11374208","0","0","0"
"11378944","0","0","0"
"11387264","1","1","1"
"11391232","0","0","0"
"11465216","0","0","0"
"11478016","1","1","1"
"11485440","0","0","0"
"11486592","0","0","0"
"11550720","1","1","1"
"11553280","0","0","0"
"11568896","0","0","0"
"11646720","1","1","1"
"11722752","0","0","0"
"11724288","0","0","0"
"11730048","0","0","0"
"11733376","0","0","0"
"11740928","0","0","0"
"11741696","0","0","0"
"11744128","1","1","1"
"11750272","1","1","1"
"11752448","0","0","0"
"11814528","1","1","1"
"11827456","0","0","0"
"11830656","1","1","1"
"11897600","0","0","0"
"11905920","0","0","0"
"11910144","0","0","0"
"11913344","1","1","1"
"11913600","0","0","0"
"11921792","0","0","0"
"11984896","0","0","0"
"11990656","0","0","0"
"11996160","0","0","0"
"11997696","0","0","0"
"12082432","0","0","0"
"12163840","0","0","0"
"12169088","0","0","0"
"12174464","0","0","0"
"12180096","0","0","0"
"12246272","1","1","1"
"12253056","0","0","0"
"12255488","0","0","0"
"12258432","0","0","0"
"12259968","1","1","1"
"12329728","0","0","0"
"12341504","0","0","0"
"12348928","0","0","0"
"12427008","0","0","0"
"12431616","0","0","0"
"12432512","1","1","1"
"12432896","0","0","0"
"12434944","0.5","0.5","0.5"
"12435712","0","0","0"
"12506112","0.5","0.5","0.5"
"12510208","0","0","0"
"12514432","1","1","1"
"12521344","0","0","0"
"12525312","0","0","0"
"12527232","0","0","0"
"12531712","0","0","0"
"12593920","0","0","0"
"12603136","0.5","0.5","0.5"
"12605568","0","0","0"
"12606464","0","0","0"
"12683520","0","0","0"
"12684160","0","0","0"
"12686592","0","0","0"
"12689152","0","0","0"
"12689280","0","0","0"
"12700032","0","0","0"
"12770944","1","1","1"
"12772096","1","1","1"
