"Step","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MIN","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MAX"
"87040","0.11764705926179886","0.11764705926179886","0.11764705926179886"
"172672","0","0","0"
"173056","0","0","0"
"259328","0","0","0"
"259456","0","0","0"
"260864","0","0","0"
"261504","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"262272","0","0","0"
"262528","0","0","0"
"349312","0","0","0"
"349568","0.5","0.5","0.5"
"434432","0","0","0"
"436608","1","1","1"
"519296","0","0","0"
"523136","0","0","0"
"607232","0","0","0"
"608896","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"693888","0","0","0"
"694528","0","0","0"
"694656","0","0","0"
"697856","0","0","0"
"698240","0","0","0"
"698368","0","0","0"
"782976","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"783872","0","0","0"
"866688","0.5","0.5","0.5"
"869376","0.800000011920929","0.800000011920929","0.800000011920929"
"869632","0","0","0"
"871424","0","0","0"
"872448","0","0","0"
"954752","0","0","0"
"955392","0.2222222238779068","0.2222222238779068","0.2222222238779068"
"957312","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"1041792","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"1044864","0.5","0.5","0.5"
"1047936","0","0","0"
"1129984","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"1132032","0","0","0"
"1132544","0","0","0"
"1212544","0","0","0"
"1214976","0","0","0"
"1215360","0","0","0"
"1222272","0.5","0.5","0.5"
"1302144","0","0","0"
"1302912","0","0","0"
"1304064","0","0","0"
"1304704","0","0","0"
"1305344","0","0","0"
"1387520","0","0","0"
"1388672","0","0","0"
"1389312","0","0","0"
"1389696","0","0","0"
"1390336","0","0","0"
"1390848","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"1393792","0","0","0"
"1473792","0","0","0"
"1477120","0","0","0"
"1562240","0","0","0"
"1563008","0","0","0"
"1564544","0","0","0"
"1565312","0.25","0.25","0.25"
"1566336","0","0","0"
"1648384","0","0","0"
"1650944","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"1652096","0","0","0"
"1654656","0","0","0"
"1655168","1","1","1"
"1732608","0","0","0"
"1736192","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"1736704","0.5","0.5","0.5"
"1826816","0.5","0.5","0.5"
"1828224","0","0","0"
"1829888","0","0","0"
"1912704","0","0","0"
"1912832","0.25","0.25","0.25"
"1915264","0.5","0.5","0.5"
"1917312","0","0","0"
"1996160","0","0","0"
"1998080","0","0","0"
"1999104","0.25","0.25","0.25"
"1999488","0.5","0.5","0.5"
"1999616","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"2000512","0","0","0"
"2084352","1","1","1"
"2086144","0","0","0"
"2086912","0","0","0"
"2171392","0.5","0.5","0.5"
"2172288","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"2173440","0.5","0.5","0.5"
"2176896","0","0","0"
"2260736","0","0","0"
"2260864","0","0","0"
"2343680","0","0","0"
"2343808","0","0","0"
"2344832","0","0","0"
"2348672","0","0","0"
"2350208","1","1","1"
"2427136","0","0","0"
"2431360","0","0","0"
"2436480","0","0","0"
"2437120","0","0","0"
"2438016","0","0","0"
"2514304","0","0","0"
"2517504","0","0","0"
"2519680","0","0","0"
"2522112","0","0","0"
"2522624","0.5","0.5","0.5"
"2604416","0","0","0"
"2605184","0","0","0"
"2607488","1","1","1"
"2608128","0","0","0"
"2610816","0","0","0"
"2688768","1","1","1"
"2693504","0","0","0"
"2695424","0","0","0"
"2781056","0","0","0"
"2782720","0","0","0"
"2785408","0","0","0"
"2863744","1","1","1"
"2865152","0","0","0"
"2866304","0","0","0"
"2871040","1","1","1"
"2955392","0","0","0"
"3041024","0","0","0"
"3042176","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"3045248","0","0","0"
"3123456","0","0","0"
"3126656","0","0","0"
"3130752","0","0","0"
"3133952","0","0","0"
"3209088","1","1","1"
"3217152","0","0","0"
"3220480","0","0","0"
"3222016","1","1","1"
"3224192","0","0","0"
"3298304","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"3300096","0","0","0"
"3304064","0","0","0"
"3304192","0","0","0"
"3309952","1","1","1"
"3385600","0","0","0"
"3389696","0","0","0"
"3390080","0.5","0.5","0.5"
"3390592","0.25","0.25","0.25"
"3391744","0","0","0"
"3394560","1","1","1"
"3473536","0","0","0"
"3474432","0","0","0"
"3476480","0.5","0.5","0.5"
"3477632","0","0","0"
"3479040","1","1","1"
"3560320","0","0","0"
"3563264","0","0","0"
"3564032","0.5","0.5","0.5"
"3565952","0","0","0"
"3571584","1","1","1"
"3643776","1","1","1"
"3644672","0","0","0"
"3645440","1","1","1"
"3651328","0.25","0.25","0.25"
"3653120","0","0","0"
"3653760","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"3654912","0","0","0"
"3656576","1","1","1"
"3738496","0","0","0"
"3741696","0","0","0"
"3819392","0","0","0"
"3820672","0","0","0"
"3823744","1","1","1"
"3828224","0","0","0"
"3828608","0","0","0"
"3907968","0","0","0"
"3908736","0","0","0"
"3912704","0","0","0"
"3913728","0.5","0.5","0.5"
"3915264","0","0","0"
"3915648","0","0","0"
"3916800","0","0","0"
"3917824","0","0","0"
"3995008","0.5","0.5","0.5"
