"Step","MsPacman-v4__my_baseline_intrinsic__1__1664396744 - charts/mean_episodic_return","MsPacman-v4__my_baseline_intrinsic__1__1664396744 - charts/mean_episodic_return__MIN","MsPacman-v4__my_baseline_intrinsic__1__1664396744 - charts/mean_episodic_return__MAX"
"45440","520","520","520"
"62848","350","350","350"
"79872","275","275","275"
"90112","300","300","300"
"96640","790","790","790"
"104704","750","750","750"
"107520","800","800","800"
"113536","380","380","380"
"116480","610","610","610"
"120064","270","270","270"
"120576","290","290","290"
"133632","385","385","385"
"134656","370","370","370"
"149760","1130","1130","1130"
"170752","330","330","330"
"196352","486.6666564941406","486.6666564941406","486.6666564941406"
"204160","370","370","370"
"232576","520","520","520"
"232704","265","265","265"
"240384","720","720","720"
"242688","340","340","340"
"248960","2170","2170","2170"
"252928","680","680","680"
"275456","550","550","550"
"306944","400","400","400"
"311424","310","310","310"
"315392","1220","1220","1220"
"344448","780","780","780"
"345728","420","420","420"
"362112","400","400","400"
"367232","700","700","700"
"400128","580","580","580"
"433408","815","815","815"
"464128","1020","1020","1020"
"506880","270","270","270"
"515584","530","530","530"
"517120","260","260","260"
"529664","770","770","770"
"569600","180","180","180"
"594560","430","430","430"
"615168","340","340","340"
"662400","455","455","455"
"673280","410","410","410"
"673792","160","160","160"
"678656","490","490","490"
"678912","470","470","470"
"679808","350","350","350"
"685952","560","560","560"
"701312","270","270","270"
"726400","360","360","360"
"730880","810","810","810"
"755968","310","310","310"
"756736","615","615","615"
"766592","380","380","380"
"782848","726.6666870117188","726.6666870117188","726.6666870117188"
"799872","380","380","380"
"808576","270","270","270"
"827776","1330","1330","1330"
"831616","515","515","515"
"833792","540","540","540"
"839168","380","380","380"
"847744","640","640","640"
"855296","330","330","330"
"865408","310","310","310"
"889472","675","675","675"
"899712","290","290","290"
"923392","620","620","620"
"934656","405","405","405"
"945792","820","820","820"
"954240","560","560","560"
"960640","330","330","330"
"964992","240","240","240"
"965120","720","720","720"
"976384","640","640","640"
"983040","260","260","260"
"989056","1040","1040","1040"
"1007744","455","455","455"
"1027072","490","490","490"
"1030656","340","340","340"
"1034752","250","250","250"
"1045376","560","560","560"
"1045760","710","710","710"
