"Step","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MIN","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MAX"
"47744","370","370","370"
"55936","420","420","420"
"83968","570","570","570"
"106112","400","400","400"
"125440","270","270","270"
"163840","100","100","100"
"181888","296.6666564941406","296.6666564941406","296.6666564941406"
"182528","290","290","290"
"193536","540","540","540"
"203136","360","360","360"
"215296","480","480","480"
"245760","455","455","455"
"254336","390","390","390"
"304256","260","260","260"
"304384","200","200","200"
"333952","310","310","310"
"349824","210","210","210"
"376192","190","190","190"
"386048","410","410","410"
"391296","480","480","480"
"391680","320","320","320"
"410624","200","200","200"
"422016","670","670","670"
"475264","350","350","350"
"487040","430","430","430"
"511232","327.5","327.5","327.5"
"516224","380","380","380"
"527872","340","340","340"
"611200","310","310","310"
"627968","290","290","290"
"652800","497.5","497.5","497.5"
"655488","590","590","590"
"678400","320","320","320"
"709632","360","360","360"
"749440","330","330","330"
"750720","350","350","350"
"829056","780","780","780"
"837632","140","140","140"
"882816","440","440","440"
"900608","395","395","395"
"945664","650","650","650"
"978048","305","305","305"
"1002752","340","340","340"
"1022592","460","460","460"
"1031936","380","380","380"
"1043200","270","270","270"
"1115008","640","640","640"
"1121280","250","250","250"
"1131776","780","780","780"
"1177856","280","280","280"
"1181312","810","810","810"
"1195264","300","300","300"
"1204096","885","885","885"
"1209472","260","260","260"
"1213824","420","420","420"
"1261056","320","320","320"
"1266688","340","340","340"
"1277952","250","250","250"
"1291392","340","340","340"
"1303808","300","300","300"
"1306496","290","290","290"
"1311488","225","225","225"
"1329408","420","420","420"
"1336192","320","320","320"
"1356928","180","180","180"
"1358208","450","450","450"
"1383168","575","575","575"
"1424128","460","460","460"
"1430016","220","220","220"
"1448960","320","320","320"
"1470336","480","480","480"
"1489280","230","230","230"
"1490432","510","510","510"
"1490944","290","290","290"
"1499648","600","600","600"
"1502848","450","450","450"
"1505152","405","405","405"
"1520896","700","700","700"
"1547904","160","160","160"
"1592832","340","340","340"
"1603072","430","430","430"
"1610496","400","400","400"
"1615744","820","820","820"
"1639296","260","260","260"
"1639936","290","290","290"
"1661184","370","370","370"
"1666304","350","350","350"
"1676032","1115","1115","1115"
"1712896","450","450","450"
"1735040","350","350","350"
"1773184","426.6666564941406","426.6666564941406","426.6666564941406"
"1802624","270","270","270"
"1827712","290","290","290"
"1834752","710","710","710"
"1840640","300","300","300"
"1854080","300","300","300"
"1858688","540","540","540"
