"Step","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MIN","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MAX"
"10112","355","355","355"
"15872","620","620","620"
"22656","400","400","400"
"26112","475","475","475"
"30976","810","810","810"
"38016","996.6666870117188","996.6666870117188","996.6666870117188"
"42624","400","400","400"
"49536","680","680","680"
"52224","650","650","650"
"53376","333.3333435058594","333.3333435058594","333.3333435058594"
"54016","1420","1420","1420"
"71040","1190","1190","1190"
"84992","1110","1110","1110"
"101120","660","660","660"
"101760","300","300","300"
"104320","420","420","420"
"106368","670","670","670"
"107648","1037.5","1037.5","1037.5"
"114048","1280","1280","1280"
"116096","470","470","470"
"116864","980","980","980"
"134528","790","790","790"
"137472","1510","1510","1510"
"139008","1220","1220","1220"
"154496","1240","1240","1240"
"159104","930","930","930"
"160128","960","960","960"
"178688","670","670","670"
"185600","1060","1060","1060"
"189184","1270","1270","1270"
"199936","1040","1040","1040"
"200320","760","760","760"
"204032","920","920","920"
"218496","850","850","850"
"222976","1570","1570","1570"
"227840","420","420","420"
"232704","980","980","980"
"246400","1230","1230","1230"
"251776","1130","1130","1130"
"255232","910","910","910"
"256896","1270","1270","1270"
"263680","570","570","570"
"270208","1660","1660","1660"
"283264","940","940","940"
"285952","1593.3333740234375","1593.3333740234375","1593.3333740234375"
"296704","1185","1185","1185"
"297984","1070","1070","1070"
"300032","1110","1110","1110"
"309504","1565","1565","1565"
"314752","1400","1400","1400"
"319360","1260","1260","1260"
"322944","1680","1680","1680"
"335104","1630","1630","1630"
"344960","900","900","900"
"357760","1060","1060","1060"
"360960","740","740","740"
"363520","1270","1270","1270"
"369024","1010","1010","1010"
"370176","1050","1050","1050"
"374400","950","950","950"
"394752","1980","1980","1980"
"437760","1130","1130","1130"
"437888","1080","1080","1080"
"459008","1690","1690","1690"
"467712","1100","1100","1100"
"497408","1470","1470","1470"
"499200","460","460","460"
"510720","1710","1710","1710"
"516480","1650","1650","1650"
"522112","1255","1255","1255"
"525440","870","870","870"
"546304","1380","1380","1380"
"550656","1140","1140","1140"
"559104","1400","1400","1400"
"561920","1400","1400","1400"
"575360","570","570","570"
"577664","1260","1260","1260"
"585472","910","910","910"
"599424","1370","1370","1370"
"600576","1280","1280","1280"
"617344","860","860","860"
"635648","1440","1440","1440"
"637184","1380","1380","1380"
"648576","1780","1780","1780"
"652544","520","520","520"
"653440","900","900","900"
"658944","940","940","940"
"664960","1320","1320","1320"
"673408","1200","1200","1200"
"675712","530","530","530"
"676224","1240","1240","1240"
"682624","920","920","920"
"689152","1390","1390","1390"
"696320","1065","1065","1065"
"704512","1000","1000","1000"
"736384","850","850","850"
"745984","1236.6666259765625","1236.6666259765625","1236.6666259765625"
